Date,Price,Return,Return p.a.
11/19/2024,"644,17","-5,24%","-1911,82%"
11/18/2024,"678,81","-1,33%","-483,94%"
11/15/2024,"687,87","-1,86%","-677,64%"
11/14/2024,"700,76","-0,78%","-284,84%"
11/13/2024,"706,25","0,96%","352,09%"
11/12/2024,"699,47","0,30%","110,79%"
11/11/2024,"697,35","1,90%","693,79%"
11/08/2024,"684,22","1,48%","541,18%"
11/07/2024,"674,15","3,90%","1422,05%"
11/06/2024,"648,39","4,67%","1703,15%"
11/05/2024,"618,83","-0,03%","-10,62%"
11/04/2024,"619,01","-0,44%","-160,62%"
11/01/2024,"621,74","1,86%","677,85%"
10/31/2024,"610,3","-1,76%","-640,85%"
10/30/2024,"621,11","-0,42%","-151,89%"
10/29/2024,"623,7","1,88%","685,84%"
10/28/2024,"612,09","0,46%","168,55%"
10/25/2024,"609,27","0,87%","318,30%"
10/24/2024,"603,98","0,33%","119,25%"
10/23/2024,"602,01","-1,25%","-456,71%"
10/22/2024,"609,59","-0,71%","-258,94%"
10/21/2024,"613,93","0,10%","38,07%"
10/18/2024,"613,29","0,66%","242,43%"
10/17/2024,"609,23","-0,03%","-9,58%"
10/16/2024,"609,39","-1,39%","-505,60%"
10/15/2024,"617,89","0,12%","43,15%"
10/14/2024,"617,16","0,08%","28,40%"
10/11/2024,"616,68","-0,42%","-154,74%"
10/10/2024,"619,3","-0,37%","-135,89%"
10/09/2024,"621,61","1,33%","487,08%"
10/08/2024,"613,37","1,80%","656,89%"
10/07/2024,"602,43","-1,36%","-495,86%"
10/04/2024,"610,67","1,13%","412,35%"
10/03/2024,"603,81","-0,57%","-209,16%"
10/02/2024,"607,28","0,16%","60,15%"
10/01/2024,"606,28","-2,40%","-875,60%"
09/30/2024,621,"0,32%","115,97%"
09/27/2024,"619,03","-2,83%","-1034,74%"
09/26/2024,"636,83","0,33%","119,99%"
09/25/2024,"634,74","-0,54%","-198,42%"
09/24/2024,"638,2","-0,59%","-214,98%"
09/23/2024,"641,97","-0,47%","-171,30%"
09/20/2024,"644,99","-1,42%","-519,74%"
09/19/2024,"654,24","3,29%","1200,60%"
09/18/2024,"633,07","-1,84%","-671,24%"
09/17/2024,"644,82","-0,22%","-80,86%"
09/16/2024,"646,25","-1,39%","-508,15%"
09/13/2024,"655,31","1,37%","501,38%"
09/12/2024,"646,37","0,38%","138,61%"
09/11/2024,"643,92","1,61%","588,57%"
09/10/2024,"633,62","1,05%","383,94%"
09/09/2024,"626,99","1,91%","697,63%"
09/06/2024,"615,12","-1,03%","-375,45%"
09/05/2024,"621,48","-0,26%","-95,02%"
09/04/2024,"623,1","-0,27%","-100,03%"
09/03/2024,"624,81","-0,87%","-317,00%"
08/30/2024,"630,26","1,19%","434,61%"
08/29/2024,"622,8","0,93%","339,14%"
08/28/2024,"617,04","-1,49%","-544,86%"
08/27/2024,"626,32","1,48%","540,12%"
08/26/2024,"617,12","-0,44%","-161,11%"
08/23/2024,"619,85","-7,07%","-2582,21%"
08/22/2024,"665,29","-0,78%","-284,18%"
08/21/2024,"670,49","0,48%","175,16%"
08/20/2024,"667,28","0,60%","218,36%"
08/19/2024,"663,3","1,48%","541,62%"
08/16/2024,"653,53","0,21%","77,71%"
08/15/2024,"652,14","2,39%","872,27%"
08/14/2024,"636,74","-1,42%","-517,38%"
08/13/2024,"645,83","2,89%","1056,17%"
08/12/2024,"627,41","-0,44%","-161,95%"
08/09/2024,"630,2","0,65%","237,07%"
08/08/2024,"626,12","2,70%","984,96%"
08/07/2024,"609,45","-0,46%","-169,69%"
08/06/2024,"612,29","1,53%","559,86%"
08/05/2024,"602,97","-3,42%","-1246,65%"
08/02/2024,"623,92","-2,20%","-804,24%"
08/01/2024,"637,82","-1,48%","-541,33%"
07/31/2024,"647,35","1,80%","657,11%"
07/30/2024,"635,8","-0,09%","-32,13%"
07/29/2024,"636,36","0,47%","172,48%"
07/26/2024,"633,36","1,12%","407,98%"
07/25/2024,"626,32","0,98%","356,05%"
07/24/2024,"620,24","-2,68%","-978,93%"
07/23/2024,"637,1","-1,16%","-422,64%"
07/22/2024,"644,52","1,24%","453,59%"
07/19/2024,"636,56","-0,14%","-52,14%"
07/18/2024,"637,47","-3,31%","-1207,41%"
07/17/2024,"658,91","-1,09%","-398,87%"
07/16/2024,"666,15","1,20%","439,33%"
07/15/2024,"658,18","2,50%","911,33%"
07/12/2024,"641,95","1,97%","720,06%"
07/11/2024,"629,41","-0,54%","-198,37%"
07/10/2024,"632,84","-2,74%","-1000,12%"
07/09/2024,"650,42","-1,40%","-510,45%"
07/08/2024,"659,58","-1,38%","-503,96%"
07/05/2024,"668,75","1,33%","486,25%"
07/03/2024,"659,9","0,56%","204,12%"
07/02/2024,"656,22","0,83%","304,40%"
07/01/2024,"650,77","-0,98%","-359,43%"
06/28/2024,"657,21","0,88%","321,87%"
06/27/2024,"651,44","2,17%","790,68%"
06/26/2024,"637,48","1,11%","403,59%"
06/25/2024,"630,47","1,05%","383,52%"
06/24/2024,"623,88","-1,32%","-480,66%"
06/21/2024,"632,15","2,57%","939,87%"
06/20/2024,"616,08","1,04%","381,15%"
06/18/2024,"609,68","1,18%","431,19%"
06/17/2024,"602,52","1,14%","415,50%"
06/14/2024,"595,7","0,18%","66,23%"
06/13/2024,"594,62","0,40%","147,62%"
06/12/2024,"592,22","4,40%","1607,76%"
06/11/2024,"566,7","-0,10%","-34,76%"
06/10/2024,"567,24","-1,17%","-426,05%"
06/07/2024,"573,9","0,22%","79,59%"
06/06/2024,"572,65","-0,28%","-103,11%"
06/05/2024,"574,27","0,39%","140,74%"
06/04/2024,"572,06","0,85%","310,13%"
06/03/2024,"567,22","-1,61%","-588,53%"
05/31/2024,"576,44","2,36%","863,04%"
05/30/2024,"562,97","-6,08%","-2220,39%"
05/29/2024,"598,28","-0,29%","-106,00%"
05/28/2024,"600,02","-1,15%","-421,55%"
05/24/2024,"606,99","-8,71%","-3180,83%"
